variable,shortname,simpledes
inyixx,National income price index,"Price index that reflects the evolution of the price level for all new, domestically produced, final goods and services in the economy."
mgdpro,Gross domestic product,"Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector."
mnninc,National income,"National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations. However it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). So we use it as our reference concept (with tax havens correction). To be improved.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector."
mpweal,Net private wealth,"Net private wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities of corporations, etc.) held by private owners (households and foundations), minus their debts.  The private sector - in the national accounts sense - includes the personal sector (households) and the non-profit sector (foundations, religious organizations, etc.). In certain countries, availables sources do not allow to decompose the wealth owned by each of these two sub-sectors, and we only provide total net private wealth."
ntaxma,Number of tax units - married couples & single adults,Number of married couples and single adults as tax units.
xlceup,"PPP conversion factor, LCU per EUR",PPP conversion factor of current local currency to current PPP EUR.
xlceux,"Market exchange rate, LCU per EUR",Official exchange rate of the local currency to EUR.
xlcusp,"PPP conversion factor, LCU per USD",PPP conversion factor of current local currency to current PPP USD.
xlcusx,"Market exchange rate, LCU per USD",Official exchange rate of the local currency to USD.
xlcyup,"PPP conversion factor, LCU per CNY",PPP conversion factor of current local currency to current PPP CNY.
xlcyux,"Market exchange rate, LCU per CNY",Official exchange rate of the local currency to CNY.
npopem,Employed population,Number of employed individuals.
npopul,Population,Number of individuals in a group.
